མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན་གྲངས།,,
,,941,7,《པེ་》《སྣར་》,འཚོ།,,
,,942,8,《པེ་》《སྣར་》,སྲུངས་པ།,,
,,943,9,《པེ་》《སྣར་》,mཔ།,,
,,944,10,《པེ་》《སྣར་》,mརིགས།,,
,,945,11,《པེ་》《སྣར་》,བས་ཏེ།,,
,,946,12,《པེ་》《སྣར་》,བས།,,
,,947,13,《ཅོ་》,བར།,,
,,948,14,《པེ་》《སྣར་》,པོ།,,
,223,949,1,《པེ་》《སྣར་》,ལྟར།,,
,,950,2,《པེ་》《སྣར་》,mལ།,,
,,951,3,《པེ་》《སྣར་》,པའི།,,
,,952,4,《ཅོ་》,mཔ།,,
,,953,5,《པེ་》《སྣར་》,བའམ།,,
,,954,6,《སྣར་》,pགང་།,,
,,955,7,《པེ་》《སྣར་》,པ།,,
,,956,8,《ཅོ་》,སྤོང་།,,
,224,957,1,《པེ་》《སྣར་》,སོ།,,
,,958,2,《པེ་》《སྣར་》,གིས།,,
,,959,3,《པེ་》《སྣར་》,ན།,,
,,960,4,《པེ་》《སྣར་》,བསྒྲུབ།,,
,,961,5,《པེ་》《སྣར་》,བསྲུང་།,,
,,962,6,《པེ་》,སོ།,,
,,963,7,《པེ་》《སྣར་》,གཞི།,,
,,964,8,《པེ་》《སྣར་》,གདམས།,,
,225,965,1,《པེ་》《སྣར་》,mགྱི་བར།,,
,,966,2,《པེ་》《སྣར་》,འཐོབ།,,
,,967,3,《པེ་》《སྣར་》,བསྡུད།,,
,,968,4,《པེ་》《སྣར་》,ལྟ།,,
,,969,5,《སྣར་》,pརྣམས།,,
,226,970,1,《པེ་》《སྣར་》,བཅགས།,,
,,971,2,《སྣར་》,བཅགས།,,
,,972,3,《པེ་》《སྣར་》,pནི།,,
,,973,4,《པེ་》《སྣར་》,ལས་བསྟེན།,,
,,974,5,《པེ་》《སྣར་》,པར།,,
,,975,6,《པེ་》《སྣར་》,pདེ།,,
,,976,7,《པེ་》《སྣར་》,pཡིན།,,
,,977,8,《པེ་》《སྣར་》,mལས་ཀྱི།,,
,,978,9,《པེ་》《སྣར་》,བསྟན།,,
,,979,10,《ཅོ་》,ཀྱི།,,
,,980,11,《པེ་》《སྣར་》,བསྟེན།,,
,,981,12,《པེ་》《སྣར་》,pམི།,,
,,982,13,《པེ་》《སྣར་》,བ་རྣམས་ཀྱི།,,
,,983,14,《པེ་》《སྣར་》,pམི།,,
,227,984,1,《པེ་》《སྣར་》,pམི།,,
,,985,2,《པེ་》《སྣར་》,འདི།,,
,,986,3,《པེ་》《སྣར་》,པའོ།,,
,,987,4,《པེ་》《སྣར་》,སྟེ།,,
,,988,5,《པེ་》《སྣར་》,པའོ།,,
,,989,6,《པེ་》《སྣར་》,pབཅས།,,
,,990,7,《པེ་》《སྣར་》,mཔོ།,,
,,991,8,《པེ་》《སྣར་》,mཔོ།,,
,,992,9,《པེ་》《སྣར་》,mདང་།,,
,,993,10,《པེ་》《སྣར་》,སྒྲུབ།,,
,,994,11,《པེ་》《སྣར་》,mཕྱིར།,,
,228,995,1,《པེ་》《སྣར་》,mཔ།,,
,,996,2,《པེ་》《སྣར་》,པ།,,
,,997,3,《པེ་》《སྣར་》,འགགས།,,
,,998,4,《པེ་》《སྣར་》,མི།,,
,,999,5,《པེ་》《སྣར་》,ཞེས།,,
,,1000,6,《པེ་》《སྣར་》,ནི།,,
,,1001,7,《པེ་》《སྣར་》,འགགས།,,
,,1002,8,《པེ་》《སྣར་》,པའང་།,,
,229,1003,1,《པེ་》《སྣར་》,པས།,,
,,1004,2,《པེ་》《སྣར་》,མ།,,
,,1005,3,《སྣར་》,བདོས།,,
,,1006,4,《པེ་》《སྣར་》,ཀྱི།,,
,,1007,5,《པེ་》《སྣར་》,pལན་ཅིག,,
,,1008,6,《པེ་》《སྣར་》,ཀྱི།,,
,,1009,7,《པེ་》《སྣར་》,པ།,,
,230,1010,1,《པེ་》《སྣར་》,mབ་ཉེ།,,
,,1011,2,《ཅོ་》,pདེ།,,
,,1012,3,《པེ་》《སྣར་》,pསེམས་ཀྱི།,,
,,1013,4,《པེ་》《སྣར་》,པོ།,,
,231,1014,1,《པེ་》《སྣར་》,མདུད་པ་མེད་པ།,,
,,1015,2,《པེ་》,pབ།,,
,,1016,3,《པེ་》《སྣར་》,mལས།,,
,,1017,4,《པེ་》《སྣར་》,ཟློག,,
,,1018,5,《པེ་》《སྣར་》,pབའི།,,
,,1019,6,《པེ་》《སྣར་》,བདེ་བར་འགྱུར་བ།,,
,,1020,7,《པེ་》《སྣར་》,བས་དེ།,,
,232,1021,1,《པེ་》《སྣར་》,pཔ།,,
,,1022,2,《པེ་》《སྣར་》,གི།,,
,,1023,3,《པེ་》《སྣར་》,mསྤོང་བ།,,
,233,1024,1,《པེ་》《སྣར་》,བདེ།,,
,,1025,2,《པེ་》《སྣར་》,བསམ།,,
,,1026,3,《པེ་》《སྣར་》,pརུང་།,,
,,1027,4,《པེ་》《སྣར་》《ཅོ་》,བསྒོམ།,,
,,1028,5,《པེ་》《སྣར་》,བའི།,,
,,1029,6,《པེ་》《སྣར་》,pཀྱི།,,
,,1030,7,《པེ་》《སྣར་》,pདང་།,,
,,1031,8,《པེ་》《སྣར་》,གིས།,,
,234,1032,1,《པེ་》《སྣར་》,པ་ཞེས་པའང་།,,
,,1033,2,《པེ་》《སྣར་》,སྟེ།,,
,,1034,3,《པེ་》《སྣར་》,mལ།,,
,,1035,4,《པེ་》《སྣར་》,pབ།,,
,,1036,5,《པེ་》《སྣར་》,pབ།,,
,,1037,6,《པེ་》《སྣར་》,pབ།,,
,,1038,7,《པེ་》《སྣར་》,pབ།,,
,,1039,8,《པེ་》《སྣར་》,ཆོས་ཤེས་པ།,,
,,1040,9,《པེ་》《སྣར་》,གཟོད།,,
,,1041,10,《པེ་》《སྣར་》,དཔྱོད།,,
,,1042,11,《པེ་》《སྣར་》,འགྱུར་བའི།,《ཅོ་》,སུ་འགྱུར་བའི།
,235,1043,1,《པེ་》《སྣར་》,གི།,,
,,1044,2,《སྣར་》,པའི།,,
,,1045,3,《པེ་》《སྣར་》,འགྱུར་བའི།,,
,,1046,4,《པེ་》《སྣར་》,སྦྱར་རོ།,,
,,1047,5,《པེ་》,mཆོས།,,
,,1048,6,《སྣར་》,ན།,,
,,1049,7,《ཅོ་》,པས།,,
,,1050,8,《པེ་》《སྣར་》,ཀྱི།,,
,,1051,9,《པེ་》《སྣར་》,པས།,,
,,1052,10,《པེ་》《སྣར་》,འཐོབ།,,
,,1053,11,《པེ་》《སྣར་》,རིགས།,,
,236,1054,1,《པེ་》《སྣར་》,ལ།,,
,,1055,2,《པེ་》《སྣར་》,ལ་བརྒལ།,,
,,1056,3,《པེ་》《སྣར་》,བསྒོམ།,,
,,1057,4,《པེ་》《སྣར་》,ལ།,,
,,1058,5,《པེ་》《སྣར་》,འདྲི།,,
,,1059,6,《པེ་》《སྣར་》,mདུ།,,
,,1060,7,《པེ་》《སྣར་》,pཔོ།,,
,,1061,8,《པེ་》《སྣར་》,mམེད།,,
,237,1062,1,《པེ་》《སྣར་》,བའི་ཤས་ཆེའི།,,
,,1063,2,《པེ་》《སྣར་》,pགྱི།,,
,,1064,3,《སྣར་》,ཆེའི།,,
,,1065,4,《པེ་》《སྣར་》,pགྱི།,,
,,1066,5,《པེ་》《སྣར་》,pདག,,
,,1067,6,《པེ་》《སྣར་》,pཔ།,,
,,1068,7,《པེ་》《སྣར་》,བཏགས།,,
,,1069,8,《པེ་》《སྣར་》,རྟོགས།,,
,238,1070,1,《པེ་》,pཔ།,,
,,1071,2,《པེ་》《སྣར་》,pགྱི།,,
,,1072,3,《པེ་》《སྣར་》,བསྒོམ།,,
,,1073,4,《པེ་》《སྣར་》,དུ་ཡོངས་སུ་བསྒོམ་པ་དང་།,,
,,1074,5,《པེ་》《སྣར་》,pཆེན་པོར་ཡོངས་སུ་བསྒོམ་པ་དང་།,,
,,1075,6,《པེ་》《སྣར་》,ཆེན་པོར།,,
,,1076,7,《པེ་》《སྣར་》,ཀྱང་།,,
,,1077,8,《པེ་》《སྣར་》,pརྣམས།,,
,,1078,9,《སྣར་》,སྐྱེས་པ།,,
,,1079,10,《པེ་》《སྣར་》,བསྒོམ།,,
,239,1080,1,《པེ་》《སྣར་》,དེ་དག,,
,,1081,2,《པེ་》《སྣར་》,བའི།,,
,,1082,3,《པེ་》《སྣར་》,pརྣམས།,,
,,1083,4,《པེ་》《སྣར་》,mདང་།,,
,,1084,5,《པེ་》《སྣར་》,པ།,,
,,1085,6,《པེ་》《སྣར་》,སྒྲུབ།,,
,,1086,7,《པེ་》《སྣར་》,པས།,,
,,1087,8,《པེ་》《སྣར་》,pརྣམས།,,
,240,1088,1,《པེ་》《སྣར་》,pཔོ།,,
,,1089,2,《པེ་》《སྣར་》,pལམ།,,
,,1090,3,《པེ་》《སྣར་》,པའི།,,
,,1091,4,《པེ་》《སྣར་》,སྤངས།,,
,,1092,5,《པེ་》《སྣར་》,བྱེད་པར་གྱིས།,,
,241,1093,1,《སྣར་》,གསལ།,,
,,1094,2,《པེ་》《སྣར་》,སྲིང་།,,
,,1095,3,《པེ་》《སྣར་》,ལྟ།,,
,,1096,4,《པེ་》《སྣར་》,བརྟེན།,,
,,1097,5,《པེ་》《སྣར་》,སྲིང་།,,
,,1098,6,《པེ་》《སྣར་》,རྟོགས།,,
,242,1099,1,《པེ་》《སྣར་》,སྦྱང་བ་བྱས།,,
,,1100,2,《པེ་》《སྣར་》,pཔར་བྱས།,,
,,1101,3,《པེ་》《སྣར་》,མ་འདྲེས་པའི།,,
,,1102,4,《པེ་》《སྣར་》,པ།,,
,,1103,5,《པེ་》《སྣར་》,བུས།,,
,,1104,6,《པེ་》《སྣར་》,པ།,,
,243,1105,1,《པེ་》《སྣར་》,རྟོགས།,,
,,1106,2,《པེ་》《སྣར་》,འབྱུང་།,,
,,1107,3,《པེ་》《སྣར་》,འབྱུང་།,,
,,1108,4,《པེ་》《སྣར་》,འབྱུང་།,,
,,1109,5,《པེ་》《སྣར་》,mལ།,,
,,1110,6,《སྣར་》,བརྩོལ།,,
,,1111,7,《པེ་》《སྣར་》,པའོ།,,
,,1112,8,《པེ་》《སྣར་》,བཅགས།,,
,244,1113,1,《པེ་》《སྣར་》,བསྒོམ།,,
,,1114,2,《པེ་》《སྣར་》,སྤང་།,,
,,1115,3,《པེ་》《སྣར་》,པའི།,,
,,1116,4,《པེ་》,པ།,,
,,1117,5,《པེ་》《སྣར་》,བསྐྱེད།,,
,245,1118,1,《པེ་》《སྣར་》,སྐྱེད།,,
,,1119,2,《པེ་》《སྣར་》,བཞི།,,
,,1120,3,《སྣར་》,བར།,,
,246,1121,1,《པེ་》《སྣར་》,pདག,,
,,1122,2,《པེ་》《སྣར་》,སྒོམ།,,
,,1123,3,《པེ་》《སྣར་》,སྒོམ།,,
,,1124,4,《པེ་》《སྣར་》,སྒོམ།,,
,,1125,5,《པེ་》《སྣར་》,སྒོམ།,,
,,1126,6,《པེ་》《སྣར་》,འགྱུར་བ།,,
,,1127,7,《པེ་》《སྣར་》,སྒྲུབ།,,
,,1128,8,《པེ་》《སྣར་》,mལ།,,
,,1129,9,《པེ་》《སྣར་》,རྫི།,,
,,1130,10,《སྣར་》,བྱེད།,,
,247,1131,1,《པེ་》,གི།,,
,,1132,2,《པེ་》,སྒོམ།,,
,,1133,3,《པེ་》《སྣར་》,བདེན།,,
,,1134,4,《པེ་》《སྣར་》,བའི།,,
,,1135,5,《པེ་》《སྣར་》,pལ།,,
,,1136,6,《པེ་》《སྣར་》,པའི།,,
,,1137,7,《པེ་》《སྣར་》,བསྒོམས།,,
,,1138,8,《པེ་》《སྣར་》,སྤོང་།,,
,,1139,9,《པེ་》《སྣར་》,གི།,,
,248,1140,1,《པེ་》《སྣར་》,པའོ།,,
,,1141,2,《པེ་》《སྣར་》,གཞི།,,
,,1142,3,《པེ་》《སྣར་》,དང་།,,
,249,1143,1,《པེ་》《སྣར་》,དུལ།,,
,,1144,2,《སྣར་》,བཞི་བར་གྱུར།,,
,,1145,3,《པེ་》《སྣར་》,mཔ།,,
,,1146,4,《པེ་》《སྣར་》,mལ།,,
,,1147,5,《པེ་》《སྣར་》,གཅོད།,,
,,1148,6,《པེ་》《སྣར་》,mདེ།,,
,,1149,7,《པེ་》《སྣར་》,mཡང་།,,
,250,1150,1,《པེ་》《སྣར་》,སྒོམ།,,
,,1151,2,《པེ་》《སྣར་》,སྒོམ།,,
,,1152,3,《པེ་》《སྣར་》,ལ།,,
,,1153,4,《པེ་》《སྣར་》,སྒོམ།,,
,,1154,5,《པེ་》《སྣར་》,སྒོམ།,,
,,1155,6,《པེ་》《སྣར་》,བཅད།,,
,,1156,7,《པེ་》《སྣར་》,ཕྲད།,,
,,1157,8,《པེ་》《སྣར་》,ཐོབ།,,
,,1158,9,《པེ་》《སྣར་》,ཐོབ།,,
,,1159,10,《སྣར་》,pཔ།,,
,251,1160,1,《པེ་》《སྣར་》,སྒྲིབས།,,
,,1161,2,《སྣར་》,རྟོགས།,,
,,1162,3,《པེ་》《སྣར་》,pལ།,,
,,1163,4,《པེ་》《སྣར་》,བརྟེན།,,
,,1164,5,《པེ་》《སྣར་》,mསྒྲིབ་པའི།,,
,,1165,6,《པེ་》《སྣར་》,ཕྲད།,,
,,1166,7,《པེ་》《སྣར་》,ཐོབ།,,
,,1167,8,《པེ་》《སྣར་》,ཕྲད་པའི་ཐོབ།,,
,,1168,9,《པེ་》《སྣར་》,ཐོབ།,,
,,1169,10,《པེ་》《སྣར་》,ཐོབ།,,
,,1170,11,《པེ་》《སྣར་》,mནི།,,
,,1171,12,《པེ་》《སྣར་》,པས་སོ།,,
,,1172,13,《པེ་》《སྣར་》,mབ།,,
,,1173,14,《པེ་》《སྣར་》,pཆད།,,
,,1174,15,《པེ་》《སྣར་》,བསྡུ།,,
,,1175,16,《པེ་》《སྣར་》,pཤུགས་ཀྱིས།,,
,,1176,17,《པེ་》《སྣར་》,བསྒུལ།,,
,252,1177,1,《པེ་》《སྣར་》,mམི་སློབ་པའི།,,
,,1178,2,《པེ་》《སྣར་》,ཤེས།,,
,,1179,3,《པེ་》《སྣར་》,pལ།,,
,253,1180,1,《པེ་》《སྣར་》,mལ།,,
,,1181,2,《སྣར་》,པར།,,
,,1182,3,《པེ་》《སྣར་》,།།,,
,,1183,4,《པེ་》《སྣར་》,mདུ།,,
,,1184,5,《པེ་》《སྣར་》,པས།,,
,,1185,6,《སྣར་》,འབེབ།,,
,254,1186,1,《པེ་》《སྣར་》,བ།,,
,,1187,2,《པེ་》《སྣར་》,པའི་སྡེའོ།,,
,,1188,3,《པེ་》《སྣར་》,གྱིས།,,
,,1189,4,《པེ་》《སྣར་》,mདུ།,,
,,1190,5,《པེ་》《སྣར་》,ནོ།,,
,255,1191,1,《པེ་》《སྣར་》,མདོའི།,,
,,1192,2,《པེ་》《སྣར་》,པ།,,
,,1193,3,《པེ་》《སྣར་》,mསྣོད་གསུམ།,,
,,1194,4,《པེ་》《སྣར་》,འཕེལ།,,
,256,1195,1,《པེ་》《སྣར་》,བསམ།,,
,,1196,2,《པེ་》《སྣར་》,པ་དང་།,,
,,1197,3,《པེ་》《སྣར་》,ཅིག,,
,,1198,4,《པེ་》,རྙན།,,
,,1199,5,《པེ་》《སྣར་》,mགང་།,,
,,1200,6,《པེ་》《སྣར་》,ལ།,,
,,1201,7,《པེ་》《སྣར་》,ལ།,,
,257,1202,1,《པེ་》《སྣར་》,རྣམས།,,
,,1203,2,《པེ་》《སྣར་》,རྣམས།,,
,,1204,3,《པེ་》《སྣར་》,དུ།,,
,,1205,4,《པེ་》《སྣར་》,ཀྱིས།,,
,,1206,5,《པེ་》《སྣར་》,ཀྱིས།,,
,,1207,6,《པེ་》《སྣར་》,དབྱུང་།,,
,,1208,7,《པེ་》《སྣར་》,ལ།,,
,,1209,8,《པེ་》《སྣར་》,pལ།,,
,,1210,9,《པེ་》《སྣར་》,ལ།,,
,,1211,10,《པེ་》《སྣར་》,mརྣམས།,,
,258,1212,1,《པེ་》《སྣར་》,mའབྱུང་བ།,,
,,1213,2,《པེ་》《སྣར་》,བཟུང་།,,
,,1214,3,《པེ་》《སྣར་》,དང་།,,
,,1215,4,《པེ་》《སྣར་》,འོག་པས་སྤངས་པར་བྱ་བ།,,
,,1216,5,《པེ་》《སྣར་》,mནི།,,
,,1217,6,《པེ་》《སྣར་》,པའོ།,,
,,1218,7,《པེ་》《སྣར་》,mཔ།,,
,,1219,8,《པེ་》《སྣར་》,mཅེ།,,
,,1220,9,《པེ་》《སྣར་》,འཐད་པས་སྒྲུབ།,,
,,1221,10,《པེ་》《སྣར་》,འཐད་པས་སྒྲུབ།,,
,,1222,11,《པེ་》《སྣར་》,སྒྲུབ།,,
,,1223,12,《པེ་》《སྣར་》,པར།,,
,,1224,13,《པེ་》《སྣར་》,རྟོགས།,,
,259,1225,1,《སྣར་》,རྟོགས།,,
,,1226,2,《པེ་》《སྣར་》,mདུ།,,
,,1227,3,《པེ་》《སྣར་》,གཏོགས།,,
,,1228,4,《པེ་》《སྣར་》,གཏོགས།,,
,,1229,5,《པེ་》《སྣར་》,གཏོགས།,,
,,1230,6,《པེ་》《སྣར་》,གཏོགས།,,
,,1231,7,《པེ་》《སྣར་》,གཏོགས།,,
,,1232,8,《པེ་》《སྣར་》,གཏོགས།,,
,,1233,9,《པེ་》《སྣར་》,གཏོགས།,,
,,1234,10,《པེ་》《སྣར་》,pདུ།,,
,,1235,11,《པེ་》《སྣར་》,གཏོགས།,,
,,1236,12,《པེ་》《སྣར་》,པའི།,,
,260,1237,1,《སྣར་》,པའི།,,
,,1238,2,《སྣར་》,བཟུང་།,,
,,1239,3,《པེ་》《སྣར་》,ནང་།,,
,,1240,4,《པེ་》《སྣར་》,བྱེད།,,
,,1241,5,《པེ་》《སྣར་》,པར།,,
,,1242,6,《པེ་》《སྣར་》,མཐའི་འབྲེལ་པའི་དགོངས།,,
,,1243,7,《པེ་》《སྣར་》,mཉིད།,,
,,1244,8,《སྣར་》,mམ།,,
,,1245,9,《པེ་》《སྣར་》,རྟེན།,,
,261,1246,1,《སྣར་》,བསྒོམ།,,
,,1247,2,《པེ་》《སྣར་》,mཔར་བསྟན།,,
,,1248,3,《པེ་》《སྣར་》,pཡང་།,,
,,1249,4,《པེ་》《སྣར་》,རྣམས།,,
,262,1250,1,《པེ་》,mརྩ།,,
,,1251,2,《སྣར་》,རྟོགས།,,
,,1252,3,《པེ་》,བསྐུར།,,
,,1253,4,《པེ་》《སྣར་》,སྒྱུར།,,
,,1254,5,《པེ་》《སྣར་》,པའི།,,
,,1255,6,《པེ་》,དབང་ཟ།,《སྣར་》,དབང་ཟབ།
,,1256,7,《པེ་》《སྣར་》,བསྟན།,,
,,1257,8,《པེ་》《སྣར་》,pལ།,,
,,1258,9,《པེ་》《སྣར་》,པར།,,
,,1259,10,《པེ་》《སྣར་》,གིས།,,
,,1260,11,《པེ་》《སྣར་》,བཟུང་།,,
,,1261,12,《པེ་》《སྣར་》,pཀྱིས།,,
,,1262,13,《པེ་》《སྣར་》,བཟོད།,,
,263,1263,1,《པེ་》《སྣར་》,བཟོད།,,
,,1264,2,《པེ་》《སྣར་》,པའོ།  །ཇི།,,
,,1265,3,《པེ་》《སྣར་》,ཀྱི།,,
,,1266,4,《པེ་》《སྣར་》,བཞུགས།,,
,,1267,5,《པེ་》《སྣར་》,pལ།,,
,,1268,6,《པེ་》《སྣར་》,འཐོབ།,,
,,1269,7,《པེ་》《སྣར་》,རྟོགས།,,
,,1270,8,《པེ་》《སྣར་》,འདུག,,
,,1271,9,《པེ་》《སྣར་》,ནི་དེ་ལྟར།,,
,264,1272,1,《པེ་》《སྣར་》,mརྣམ་པར་ངེས་པ་ཞེས་བྱ་བ་སྟེ།,,
,,1273,2,《པེ་》《སྣར་》,pསྟེ།,,
,,1274,3,《སྣར་》,པར།,,
,,1275,4,《པེ་》《སྣར་》,བསྟན།,,
,,1276,5,《པེ་》《སྣར་》,mཔ།,,
,,1277,6,《པེ་》《སྣར་》,mཔ།,,
,,1278,7,《པེ་》《སྣར་》,བའི།,,
,265,1279,1,《པེ་》《སྣར་》,བྱེད་པའི།,,
,,1280,2,《པེ་》《སྣར་》,mདང་།,,
,,1281,3,《སྣར་》,དེ།,,
,,1282,4,《པེ་》《སྣར་》,pཡོངས་སུ།,,
,,1283,5,《པེ་》《སྣར་》,pན་སྤྱོད་པ།,,
,,1284,6,《པེ་》《སྣར་》,བའི།,,
,,1285,7,《པེ་》《སྣར་》,པས།,,
,,1286,8,《པེ་》《སྣར་》,པར།,,
,266,1287,1,《པེ་》《སྣར་》,བའོ།,,
,,1288,2,《པེ་》《སྣར་》,pཆོས།,,
,,1289,3,《པེ་》《སྣར་》,པའང་།,,
,,1290,4,《པེ་》《སྣར་》,པ།,,
,,1291,5,《པེ་》《སྣར་》,pབར་བྱ།,,
,,1292,6,《སྣར་》,mཔ།,,
,,1293,7,《པེ་》《སྣར་》,mཔར་བྱ།,,
,,1294,8,《པེ་》《སྣར་》,དང་།,,
,,1295,9,《པེ་》《སྣར་》,pདང་།,,
,,1296,10,《པེ་》《སྣར་》,དང་།,,
,,1297,11,《པེ་》《སྣར་》,mགང་ཡང་རུང་སྟེ།,,
,,1298,12,《པེ་》《སྣར་》,སྔོན།,,
,267,1299,1,《སྣར་》,mཔ།,,
,,1300,2,《པེ་》,pཔ།,,
,,1301,3,《སྣར་》,གསགས།,,
,,1302,4,《པེ་》《སྣར་》,mཚོགས།,,
,,1303,5,《པེ་》《སྣར་》,pགི།,,
,,1304,6,《པེ་》《སྣར་》,པོའི།,,
,,1305,7,《པེ་》《སྣར་》,ཀྱིས།,,
,,1306,8,《པེ་》《སྣར་》,བྱས་པའི།,,
,,1307,9,《སྣར་》,mལ།,,
,268,1308,1,《སྣར་》,mལ།,,
,,1309,2,《པེ་》《སྣར་》,mལ།,,
,,1310,3,《པེ་》《སྣར་》,pདེ།,,
,,1311,4,《པེ་》《སྣར་》,mཏུ།,,
,,1312,5,《པེ་》《སྣར་》,mཡོངས་སུ་ཉམས་པ།,,
,,1313,6,《པེ་》《སྣར་》,བྱས་པའི།,,
,,1314,7,《པེ་》《སྣར་》,པའི།,,
,,1315,8,《པེ་》《སྣར་》,mགང་།,,
,,1316,9,《པེ་》《སྣར་》,ཀྱི།,,
,269,1317,1,《པེ་》《སྣར་》,སློབ།,,
,,1318,2,《པེ་》《སྣར་》,བའི་གང་ཟག,,
,,1319,3,《པེ་》《སྣར་》,mཔ།,,
,,1320,4,《པེ་》《སྣར་》,ལས།,,
,,1321,5,《པེ་》《སྣར་》,pཞེ།,,
,,1322,6,《པེ་》《སྣར་》,པར།,,
,270,1323,1,《པེ་》《སྣར་》,mརྣམས་ཀྱི།,,
,,1324,2,《པེ་》《སྣར་》,གི།,,
,,1325,3,《པེ་》《སྣར་》,pགང་།,,
,,1326,4,《པེ་》《སྣར་》,བསྒོམས་པས་སྤངས་པར་བྱ་བ།,,
,271,1327,1,《པེ་》《སྣར་》,mཔའི་ཀུན་ཏུ་སྦྱོར་བ་རྣམ།,,
,,1328,2,《པེ་》《སྣར་》,mཞེས་བྱ།,,
,,1329,3,《པེ་》《སྣར་》,དེ།,,
,,1330,4,《པེ་》《སྣར་》,པའི།,,
,,1331,5,《པེ་》《སྣར་》,བ།,,
,,1332,6,《པེ་》《སྣར་》,mཕྱིར།,,
,,1333,7,《པེ་》《སྣར་》,mཉིད།,,
,,1334,8,《པེ་》《སྣར་》,ཏེ།,,
,,1335,9,《པེ་》《སྣར་》,དོའི།,,
,,1336,10,《པེ་》《སྣར་》,གྲུབ།,,
,,1337,11,《པེ་》《སྣར་》,དོའི།,,
,,1338,12,《པེ་》《སྣར་》,གྲུབ་པ་ན།,,
,,1339,13,《པེ་》《སྣར་》,pལ།,,
,,1340,14,《སྣར་》,བསམ།,,
,,1341,15,《པེ་》《སྣར་》,བོ།,,
,,1342,16,《པེ་》《སྣར་》,པོ།,,
,272,1343,1,《སྣར་》,འཐོབ།,,
,,1344,2,《པེ་》《སྣར་》,mལ།,,
,,1345,3,《པེ་》《སྣར་》,ངུས།,,
,,1346,4,《པེ་》《སྣར་》,བཙང་།,,
,,1347,5,《པེ་》《སྣར་》,pདགྲ་བཅོམ་པ།,,
,,1348,6,《པེ་》《སྣར་》,mགྱི་དགྲ་བཅོམ་པ།,,
,,1349,7,《པེ་》《སྣར་》,བསད།,,
,,1350,8,《པེ་》,བསྐལ།,,
,,1351,9,《པེ་》《སྣར་》,སྲུང་།,,
,,1352,10,《པེ་》《སྣར་》,mགང་།,,
,,1353,11,《པེ་》《སྣར་》,པའི།,,
,,1354,12,《པེ་》《སྣར་》,pགང་།,,
,273,1355,1,《པེ་》《སྣར་》,pཡང་།,,
,,1356,2,《པེ་》《སྣར་》,pཡོངས་སུ།,,
,,1357,3,《པེ་》《སྣར་》,གྱུར་པ།,,
,,1358,4,《པེ་》《སྣར་》,པའི།,,
,,1359,5,《པེ་》《སྣར་》,pཡོངས་སུ།,,
,,1360,6,《པེ་》《སྣར་》,pགང་།,,
,,1361,7,《པེ་》《སྣར་》,བའི།,,
,,1362,8,《པེ་》《སྣར་》,pལ།,,
,,1363,9,《པེ་》《སྣར་》,བར་བྱའོ།,,
,,1364,10,《པེ་》《སྣར་》,བར།,,
,274,1365,1,《པེ་》《སྣར་》,སྐྱེ་བར།,,
,,1366,2,《པེ་》《སྣར་》,དེ་བཞིན་གཤེགས་པ་བསམ་གྱིས་ནི་མི་ཁྱབ་པ།,,
,,1367,3,《པེ་》《སྣར་》,དང་།,,
,,1368,4,《པེ་》《སྣར་》,mགང་།,,
,,1369,5,《པེ་》《སྣར་》,པ།,,
,,1370,6,《པེ་》《སྣར་》,གཅིག,,
,,1371,7,《པེ་》《སྣར་》,བཞིན།,,
,275,1372,1,《སྣར་》,pཔ།,,
,,1373,2,《པེ་》《སྣར་》,ལས།,,
,,1374,3,《པེ་》《སྣར་》,པའི།,,
,,1375,4,《པེ་》《སྣར་》,བྱས་པའི།,,
,,1376,5,《པེ་》《སྣར་》,mཔ།,,
,,1377,6,《པེ་》《སྣར་》,བྱས་པའི།,,
,,1378,7,《སྣར་》,དཔའི།,,
,,1379,8,《པེ་》《སྣར་》,mཔ།,,
,,1380,9,《པེ་》《སྣར་》,བའི།,,
,276,1381,1,《པེ་》《སྣར་》,ལས།,,
,,1382,2,《པེ་》《སྣར་》,སྒོམ།,,
,,1383,3,《པེ་》《སྣར་》,པ།,,
,,1384,4,《པེ་》《སྣར་》,པའི།,,
,,1385,5,《པེ་》,mཀྱི།,,
,,1386,6,《པེ་》《སྣར་》,པ།,,
,277,1387,1,《པེ་》《སྣར་》,སྟོན།,,
,,1388,2,《པེ་》,རྗེ་ལས།,《སྣར་》,རྗེས་ལས།
,,1389,3,《པེ་》《སྣར་》,བསམ།,,
,278,1390,1,《པེ་》《སྣར་》,པ།,,
,,1391,2,《པེ་》《སྣར་》,ཕུན་སུམ་ཚོགས་པའི།,,
,,1392,3,《པེ་》《སྣར་》,པའི།,,
,,1393,4,《པེ་》《སྣར་》,ཤིང་ཕྱིའི་གཟུགས།,,
,,1394,5,《པེ་》《སྣར་》,mརྣམས།,,
,279,1395,1,《པེ་》《སྣར་》,བལྟོས།,,
,,1396,2,《པེ་》《སྣར་》,པ།,,
,,1397,3,《སྣར་》,སྒྲིབས།,,
,,1398,4,《པེ་》《སྣར་》,mགང་།,,
,,1399,5,《པེ་》《སྣར་》,mརྣམ་པར།,,
,280,1400,1,《པེ་》《སྣར་》,མི།,,
