༢ཁུགས | ཁུག_འདས་པ།_ཐ་མི་དད་པ
གདམས | འདོམས_མ་འོངས་པ།_ཐ་དད་པ+འདོམས_འདས་པ།_ཐ་དད་པ
གདལ | གདལ_ད་ལྟ་བ།_ཐ་དད་པ+གདལ_ད་ལྟ་བ།_###
གདས | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
གདུག | གདུག_ད་ལྟ་བ།_ཐ་དད་པ
གདུང | གདུང_ད་ལྟ་བ།_ཐ་མི་དད་པ+གདུང_མ་འོངས་པ།_###+གདུང_ད་ལྟ་བ།_###+གདུང_མ་འོངས་པ།_ཐ་མི་དད་པ
གདུངས | གདུང_འདས་པ།_###+གདུང_འདས་པ།_ཐ་མི་དད་པ
གདུད | འདུད_མ་འོངས་པ།_ཐ་དད་པ
གདུལ | འདུལ_མ་འོངས་པ།_###+འདུལ_མ་འོངས་པ།_ཐ་དད་པ
གདེག | འདེགས_མ་འོངས་པ།_ཐ་དད་པ
གདེང | གདེང_ད་ལྟ་བ།_ཐ་དད་པ+གདེང_མ་འོངས་པ།_ཐ་དད་པ
གདེངས | གདེང_སྐུལ་ཚིག_ཐ་དད་པ+གདེང_འདས་པ།_ཐ་དད་པ
གདོངས | གདང_སྐུལ་ཚིག_ཐ་དད་པ
གདོད | བྱ་ཚིག_ཐ་དད་པ
གདོན | འདོན_མ་འོངས་པ།_###+འདོན_མ་འོངས་པ།_ཐ་དད་པ
གདོལ | གདལ_སྐུལ་ཚིག_ཐ་དད་པ+གདལ_སྐུལ་ཚིག_###
གནག | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
གནང | གནང_འདས་པ།_ཐ་དད་པ+གནང_མ་འོངས་པ།_ཐ་དད་པ+གནང_ད་ལྟ་བ།_ཐ་དད་པ
གནར | གནར_ད་ལྟ་བ།_ཐ་མི་དད་པ+གནར_མ་འོངས་པ།_ཐ་མི་དད་པ+གནར_འདས་པ།_ཐ་མི་དད་པ+གནར_མ་འོངས་པ།_###+གནར_འདས་པ།_###+གནར_ད་ལྟ་བ།_###
གནས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
གནོང | གནོང_མ་འོངས་པ།_ཐ་མི་དད་པ+གནོང_ད་ལྟ་བ།_ཐ་མི་དད་པ+གནོང_ད་ལྟ་བ།_ཐ་དད་པ+གནོང_མ་འོངས་པ།_ཐ་དད་པ
གནོངས | གནོང_སྐུལ་ཚིག_ཐ་དད་པ+གནང_སྐུལ་ཚིག_ཐ་དད་པ+གནོང_འདས་པ།_ཐ་དད་པ+གནོང_འདས་པ།_ཐ་མི་དད་པ
གནོད | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ+བྱ་ཚིག_###
གནོན | གནོན_ད་ལྟ་བ།_ཐ་དད་པ
གནོར | གནར_སྐུལ་ཚིག_###+གནར_སྐུལ་ཚིག_ཐ་མི་དད་པ
གནོས | ནོད_སྐུལ་ཚིག_ཐ་དད་པ
གབ | གབ_མ་འོངས་པ།_ཐ་དད་པ+གབ_འདས་པ།_ཐ་དད་པ+གབ_ད་ལྟ་བ།_ཐ་དད་པ+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
གཙག | གཙག_མ་འོངས་པ།_###+འཚག_མ་འོངས་པ།_ཐ་དད་པ+གཙག_མ་འོངས་པ།_ཐ་དད་པ+གཙག_ད་ལྟ་བ།_ཐ་དད་པ+གཙག_ད་ལྟ་བ།_###
གཙགས | གཙག_འདས་པ།_###+གཙག_འདས་པ།_ཐ་དད་པ
གཙབ | གཙབ_ད་ལྟ་བ།_ཐ་དད་པ+གཙབ_མ་འོངས་པ།_ཐ་དད་པ
གཙབས | གཙབ_འདས་པ།_ཐ་དད་པ
གཙི | གཙི_ད་ལྟ་བ།_ཐ་དད་པ+བྱ་ཚིག_###+གཙི_མ་འོངས་པ།_ཐ་དད་པ
གཙིར | བྱ་ཚིག_ཐ་དད་པ
གཙིས | གཙི_འདས་པ།_ཐ་དད་པ+གཙི_སྐུལ་ཚིག_ཐ་དད་པ
གཙུབ | གཙུབ_ད་ལྟ་བ།_ཐ་དད་པ+གཙུབ_ད་ལྟ་བ།_###+གཙུབ_མ་འོངས་པ།_ཐ་དད་པ+གཙུབ_མ་འོངས་པ།_###
གཙུབས | གཙུབ_འདས་པ།_ཐ་དད་པ+གཙུབ_སྐུལ་ཚིག_###+གཙུབ_འདས་པ།_###+གཙུབ_སྐུལ་ཚིག_ཐ་དད་པ
གཙེ | གཙེ_མ་འོངས་པ།_ཐ་དད་པ+གཙེ_ད་ལྟ་བ།_ཐ་དད་པ
གཙེར | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
གཙེས | གཙེ_སྐུལ་ཚིག_ཐ་དད་པ+གཙེ_འདས་པ།_ཐ་དད་པ
གཙོག | འཚོག_མ་འོངས་པ།_ཐ་དད་པ
གཙོགས | གཙག_སྐུལ་ཚིག_ཐ་དད་པ+གཙག_སྐུལ་ཚིག_###
གཙོབས | གཙབ_སྐུལ་ཚིག_ཐ་དད་པ
གཞག | འཇོག_མ་འོངས་པ།_ཐ་དད་པ+འཇོག_མ་འོངས་པ།_###
གཞབ | གཞབ_ད་ལྟ་བ།_###+གཞབ_མ་འོངས་པ།_###+འཇབ_མ་འོངས་པ།_ཐ་དད་པ
གཞའ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
གཞར | གཞར_ད་ལྟ་བ།_ཐ་དད་པ+གཞར_ད་ལྟ་བ།_###
གཞལ | འཇལ_མ་འོངས་པ།_ཐ་དད་པ+འཇལ_མ་འོངས་པ།_###
གཞིག | འཇིག_མ་འོངས་པ།_ཐ་དད་པ
གཞིབ | འཇིབ_མ་འོངས་པ།_ཐ་དད་པ
གཞིབས | བྱ་ཚིག_ཐ་དད་པ
གཞིལ | འཇིལ_མ་འོངས་པ།_ཐ་དད་པ
གཞུ | གཞུ_ད་ལྟ་བ།_ཐ་དད་པ+གཞུ_མ་འོངས་པ།_ཐ་དད་པ
གཞུག | འཇུག_མ་འོངས་པ།_ཐ་དད་པ
གཞུར | གཞུར_མ་འོངས་པ།_ཐ་དད་པ+གཞུར_ད་ལྟ་བ།_ཐ་དད་པ+གཞུར_སྐུལ་ཚིག_ཐ་དད་པ
གཞུས | གཞུ_འདས་པ།_ཐ་དད་པ+གཞུ_སྐུལ་ཚིག_ཐ་དད་པ
གཞེན | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
གཞེར | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
གཞེས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
གཞོག | གཞོག_ད་ལྟ་བ།_ཐ་དད་པ+གཞོག_མ་འོངས་པ།_ཐ་དད་པ
གཞོགས | བྱ་ཚིག_ཐ་དད་པ
གཞོབ | གཞོབ_ད་ལྟ་བ།_ཐ་དད་པ+གཞོབ_མ་འོངས་པ།_ཐ་དད་པ+གཞབ_སྐུལ་ཚིག_###
གཞོབས | གཞོབ_འདས་པ།_ཐ་དད་པ+གཞོབ_སྐུལ་ཚིག_ཐ་དད་པ
གཞོམ | འཇོམས_མ་འོངས་པ།_ཐ་དད་པ
གཞོལ | གཟུགས་མི་འགྱུར་བ_###+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
གཟག | གཟག_མ་འོངས་པ།_ཐ་དད་པ+གཟག_ད་ལྟ་བ།_ཐ་དད་པ
གཟགས | གཟག_འདས་པ།_ཐ་དད་པ
གཟན | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ+གཟན_འདས་པ།_###+གཟན_ད་ལྟ་བ།_###+གཟན_མ་འོངས་པ།_###
གཟབ | གཟབ_མ་འོངས་པ།_ཐ་དད་པ+གཟབ_ད་ལྟ་བ།_ཐ་དད་པ
གཟར | གཟར_འདས་པ།_ཐ་དད་པ+འཛར_མ་འོངས་པ།_ཐ་དད་པ+འཛར_འདས་པ།_ཐ་མི་དད་པ+འཛར_མ་འོངས་པ།_ཐ་མི་དད་པ+གཟར_མ་འོངས་པ།_ཐ་དད་པ+གཟར_ད་ལྟ་བ།_ཐ་དད་པ
གཟས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
གཟིགས | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
གཟིང | བྱ་ཚིག_ཐ་མི་དད་པ
གཟིར | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
གཟུགས | འཛུགས_མ་འོངས་པ།_###+འཛུད_མ་འོངས་པ།_ཐ་དད་པ+འཛུགས_མ་འོངས་པ།_ཐ་དད་པ
གཟུང | འཛིན_མ་འོངས་པ།_ཐ་དད་པ+འཛིན_མ་འོངས་པ།_###
གཟུར | འཛུར_མ་འོངས་པ།_ཐ་མི་དད་པ
གཟེག | བྱ་ཚིག_ཐ་མི་དད་པ
གཟེང | གཟེང_ད་ལྟ་བ།_ཐ་མི་དད་པ+གཟེང_མ་འོངས་པ།_ཐ་མི་དད་པ
གཟེངས | གཟེང_འདས་པ།_ཐ་མི་དད་པ
གཟེད | འཛེད_མ་འོངས་པ།_ཐ་དད་པ
གཟེམ | བྱ་ཚིག_ཐ་དད་པ
གཟེར | འཛར_སྐུལ་ཚིག_ཐ་དད་པ+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
གཟོགས | གཟག_སྐུལ་ཚིག_ཐ་དད་པ
གཟོན | གཟན_སྐུལ་ཚིག_###
གཟོབ | བྱ་ཚིག_ཐ་དད་པ
གཟོབས | གཟབ_སྐུལ་ཚིག_ཐ་དད་པ
གཟོར | གཟར_སྐུལ་ཚིག_ཐ་དད་པ
གཡར | གཡར_མ་འོངས་པ།_ཐ་དད་པ+གཡར_འདས་པ།_ཐ་དད་པ+གཡར_ད་ལྟ་བ།_ཐ་དད་པ
གཡལ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
གཡིག | གཡིག_ད་ལྟ་བ།_ཐ་མི་དད་པ+གཡིག_མ་འོངས་པ།_ཐ་མི་དད་པ
གཡིགས | གཡིག_འདས་པ།_ཐ་མི་དད་པ
གཡུག | གཡུག_མ་འོངས་པ།_ཐ་དད་པ+གཡུག_ད་ལྟ་བ།_###+གཡུག_མ་འོངས་པ།_###+གཡུག_ད་ལྟ་བ།_ཐ་དད་པ
གཡུགས | གཡུག_སྐུལ་ཚིག_ཐ་དད་པ+གཡུག_འདས་པ།_ཐ་དད་པ+གཡུག_སྐུལ་ཚིག_###+གཡུག_འདས་པ།_###
གཡུར | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
གཡེང | གཡེང_མ་འོངས་པ།_ཐ་དད་པ+གཡེང_ད་ལྟ་བ།_###+གཡེང_ད་ལྟ་བ།_ཐ་མི་དད་པ+གཡེང_ད་ལྟ་བ།_ཐ་དད་པ+གཡེང_མ་འོངས་པ།_###+གཡེང_མ་འོངས་པ།_ཐ་མི་དད་པ
གཡེངས | གཡེང_འདས་པ།_###+གཡེང_སྐུལ་ཚིག_ཐ་དད་པ+གཡེང_འདས་པ།_ཐ་དད་པ+གཡེང_འདས་པ།_ཐ་མི་དད་པ
གཡེམ | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
གཡེལ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
གཡོ | གཡོ_མ་འོངས་པ།_ཐ་དད་པ+གཡོ_ད་ལྟ་བ།_ཐ་དད་པ+གཡོ_ད་ལྟ་བ།_ཐ་མི་དད་པ+གཡོ_མ་འོངས་པ།_ཐ་མི་དད་པ
གཡོག | གཡོག_མ་འོངས་པ།_###+གཡོག_ད་ལྟ་བ།_ཐ་དད་པ+གཡོག_མ་འོངས་པ།_ཐ་དད་པ+གཡོག_ད་ལྟ་བ།_###
གཡོགས | གཡོག_འདས་པ།_ཐ་དད་པ+གཡོག_སྐུལ་ཚིག_ཐ་དད་པ+གཡོག_འདས་པ།_###+གཡོག_སྐུལ་ཚིག_###
གཡོར | གཡར_སྐུལ་ཚིག_ཐ་དད་པ
གཡོས | གཡོ_འདས་པ།_ཐ་མི་དད་པ+གཡོ_སྐུལ་ཚིག_ཐ་དད་པ+གཡོ_འདས་པ།_ཐ་དད་པ+གཡོ_སྐུལ་ཚིག_ཐ་མི་དད་པ
གཤག | གཤོག_མ་འོངས་པ།_ཐ་དད་པ
གཤགས | གཤོག_འདས་པ།_ཐ་དད་པ+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
གཤར | གཤར_མ་འོངས་པ།_ཐ་མི་དད་པ+གཤར_ད་ལྟ་བ།_ཐ་མི་དད་པ
གཤལ | བྱ་ཚིག_ཐ་དད་པ
