ཀུམ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
ཁོད | བཀད_སྐུལ་ཚིག_ཐ་དད་པ+འགད_སྐུལ་ཚིག_ཐ་དད་པ+འགོད_སྐུལ་ཚིག_ཐ་དད་པ+ཁོད_སྐུལ་ཚིག_ཐ་དད་པ+དགོད_སྐུལ་ཚིག_###+བཀོད_སྐུལ་ཚིག_ཐ་དད་པ+དགད_སྐུལ་ཚིག_ཐ་དད་པ
ཁོན | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+འཁོན_འབྲི་ཚུལ
ཁོབ | དགབ_སྐུལ་ཚིག_ཐ་དད་པ+འགེབ_སྐུལ་ཚིག_###+ཁོབ_སྐུལ་ཚིག_ཐ་དད་པ+བཀབ_སྐུལ་ཚིག_ཐ་དད་པ+འགེབ_སྐུལ་ཚིག_ཐ་དད་པ
ཁོར | ཁོར_སྐུལ་ཚིག_ཐ་དད་པ+དགར_སྐུལ་ཚིག_ཐ་དད་པ+འགེར_སྐུལ་ཚིག_ཐ་དད་པ+བཀར_སྐུལ་ཚིག_ཐ་དད་པ+བཀར_སྐུལ་ཚིག_###+ཁོར_སྐུལ་ཚིག_###+འགེར_སྐུལ་ཚིག_###+དགར_སྐུལ་ཚིག_###
ཁོལ | འཁེལ_སྐུལ་ཚིག_###+འཁོལ_འདས་པ།_ཐ་མི་དད་པ+འགེལ_སྐུལ་ཚིག_###+དགལ_སྐུལ་ཚིག_ཐ་དད་པ+བཀོལ_སྐུལ་ཚིག_ཐ་དད་པ+ཁོལ_སྐུལ་ཚིག_ཐ་དད་པ+བཀལ_སྐུལ་ཚིག_###+བཀལ_སྐུལ་ཚིག_ཐ་དད་པ+དགོལ_སྐུལ་ཚིག_ཐ་དད་པ+ཁོལ_འདས་པ།_ཐ་མི་དད་པ+ཁོལ_སྐུལ་ཚིག_###+འཁེལ_སྐུལ་ཚིག_ཐ་དད་པ+འཁོལ_སྐུལ་ཚིག_ཐ་དད་པ+འཁོལ_སྐུལ་ཚིག_###+འཁོལ_ད་ལྟ་བ།_ཐ་མི་དད་པ+ཁོལ_འདས་པ།_###+ཁོལ_ད་ལྟ་བ།_ཐ་མི་དད་པ+ཁེལ_སྐུལ་ཚིག_ཐ་མི་དད་པ
ཁོས | ཁོས_སྐུལ་ཚིག_ཐ་དད་པ+འགས_སྐུལ་ཚིག_ཐ་དད་པ+བཀས_སྐུལ་ཚིག_ཐ་དད་པ+དགས_སྐུལ་ཚིག_ཐ་དད་པ
ཁྱག | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
ཁྱགས | འཁྱགས_འབྲི་ཚུལ+བྱ་ཚིག_ཐ་མི་དད་པ
ཁྱབ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཁྱིགས | འཁྱིག_སྐུལ་ཚིག_ཐ་དད་པ+ཁྱིགས_སྐུལ་ཚིག_ཐ་དད་པ
ཁྱེ | ཁྱེས_མ་འོངས་པ།_ཐ་དད་པ+ཁྱེ_ད་ལྟ་བ།_ཐ་དད་པ+ཁྱེས_ད་ལྟ་བ།_ཐ་དད་པ+ཁྱེ_མ་འོངས་པ།_ཐ་དད་པ
ཁྱེད | ཁྱེད_སྐུལ་ཚིག_ཐ་དད་པ+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+འགྱེད_སྐུལ་ཚིག_###+བཀྱེད_སྐུལ་ཚིག_ཐ་དད་པ+དགྱེད_སྐུལ་ཚིག_ཐ་དད་པ
ཁྱེར | འཁྱེར_འདས་པ།_ཐ་དད་པ+ཁྱེར_སྐུལ་ཚིག_ཐ་དད་པ+ཁྱེར_འདས་པ།_ཐ་དད་པ+འཁྱེར_སྐུལ་ཚིག_ཐ་དད་པ
ཁྱེས | འགྱེད_སྐུལ་ཚིག_###+ཁྱེས_སྐུལ་ཚིག_###+འགྱེད_སྐུལ་ཚིག_ཐ་དད་པ+ཁྱེ_འདས་པ།_ཐ་དད་པ+བཀྱེ_སྐུལ་ཚིག_ཐ་དད་པ+བཀྱེས_སྐུལ་ཚིག_ཐ་དད་པ+ཁྱེ_སྐུལ་ཚིག_ཐ་དད་པ+ཁྱེས_འདས་པ།_ཐ་དད་པ+ཁྱེས_སྐུལ་ཚིག_ཐ་དད་པ
ཁྱོག | བཀྱགས_ད་ལྟ་བ།_###+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+ཁྱོག_ད་ལྟ་བ།_ཐ་དད་པ+ཁྱོགས_ད་ལྟ་བ།_###
ཁྱོགས | འགྱོག_སྐུལ་ཚིག_ཐ་དད་པ+ཁྱོགས_སྐུལ་ཚིག_ཐ་དད་པ+བཀྱག_སྐུལ་ཚིག_ཐ་དད་པ+ཁྱོག_སྐུལ་ཚིག_ཐ་དད་པ+ཁྱོགས_སྐུལ་ཚིག_###+བཀྱགས_སྐུལ་ཚིག_ཐ་དད་པ+བཀྱགས_སྐུལ་ཚིག_###
ཁྲིད | འཁྲིད_འདས་པ།_ཐ་དད་པ+འཁྲིད_སྐུལ་ཚིག_ཐ་དད་པ+ཁྲིད_སྐུལ་ཚིག_ཐ་དད་པ+ཁྲིད_འདས་པ།_ཐ་དད་པ+བཀྲི_སྐུལ་ཚིག_ཐ་དད་པ+བཀྲིས_སྐུལ་ཚིག_ཐ་དད་པ+འཁྲིད_སྐུལ་ཚིག_###+ཁྲིད_སྐུལ་ཚིག_###
ཁྲིལ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+འཁྲིལ_འབྲི་ཚུལ
ཁྲུངས | བྱ་ཚིག_###
ཁྲུལ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཁྲུས | བཀྲུས_སྐུལ་ཚིག_ཐ་དད་པ+ཁྲུས_སྐུལ་ཚིག_ཐ་དད་པ+འཁྲུད_སྐུལ་ཚིག_ཐ་དད་པ+བཀྲུ_སྐུལ་ཚིག_ཐ་དད་པ
ཁྲེམས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཁྲེལ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཁྲོ | ཁྲོས_ད་ལྟ་བ།_ཐ་དད་པ+ཁྲོ_མ་འོངས་པ།_ཐ་མི་དད་པ+ཁྲོས_མ་འོངས་པ།_ཐ་དད་པ+ཁྲོ_ད་ལྟ་བ།_ཐ་མི་དད་པ
ཁྲོག | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཁྲོབ | བཀྲབ_སྐུལ་ཚིག_ཐ་དད་པ+དཀྲབ_སྐུལ་ཚིག_ཐ་དད་པ+ཁྲོབ_སྐུལ་ཚིག_ཐ་དད་པ+འཁྲབ_སྐུལ་ཚིག_ཐ་དད་པ
ཁྲོབས | འཁྲབ_སྐུལཚིག_འབྲི་ཚུལ
ཁྲོམ | བཀྲམ_སྐུལ་ཚིག_ཐ་དད་པ+དགྲམ_སྐུལ་ཚིག_ཐ་དད་པ+ཁྲོམ_སྐུལ་ཚིག_ཐ་དད་པ+འགྲེམ_སྐུལ་ཚིག_ཐ་དད་པ
ཁྲོལ | དགྲོལ_སྐུལ་ཚིག_ཐ་དད་པ+འགྲོལ_སྐུལ་ཚིག_ཐ་དད་པ+འགྲེལ_སྐུལ་ཚིག_ཐ་དད་པ+དཀྲོལ_སྐུལ་ཚིག_ཐ་དད་པ+དགྲོལ_སྐུལ་ཚིག_###+བཀྲལ_སྐུལ་ཚིག_ཐ་དད་པ+འཁྲོལ_སྐུལ་ཚིག_ཐ་དད་པ+ཁྲོལ_སྐུལ་ཚིག_###+འཁྲོལ_སྐུལ་ཚིག_###+ཁྲོལ_སྐུལ་ཚིག_ཐ་དད་པ+བཀྲོལ_སྐུལ་ཚིག_ཐ་དད་པ
ཁྲོས | ཁྲོས_སྐུལ་ཚིག_ཐ་དད་པ+ཁྲོ_སྐུལ་ཚིག_ཐ་མི་དད་པ+ཁྲོས_འདས་པ།_ཐ་དད་པ+ཁྲོ_འདས་པ།_ཐ་མི་དད་པ
གང | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
གཅག | བཅག_མ་འོངས་པ།_###+གཅོག_མ་འོངས་པ།_###+ཆོག_མ་འོངས་པ།_###+ཆོག_མ་འོངས་པ།_ཐ་དད་པ+གཅོག_མ་འོངས་པ།_ཐ་དད་པ+གཅག_མ་འོངས་པ།_ཐ་མི་དད་པ+བཅག_མ་འོངས་པ།_ཐ་དད་པ+འཇག_མ་འོངས་པ།_ཐ་དད་པ
གཅད | གཅད_མ་འོངས་པ།_ཐ་དད་པ+གཅོད_མ་འོངས་པ།_###+གཅོད_མ་འོངས་པ།_ཐ་དད་པ+ཆོད_མ་འོངས་པ།_ཐ་དད་པ+གཅད_མ་འོངས་པ།_ཐ་མི་དད་པ+བཅད_མ་འོངས་པ།_ཐ་དད་པ+གཅོད_མ་འོངས་པ།_ཐ་མི་དད་པ
གཅར | གཅར_ད་ལྟ་བ།_###+གཅོར_ད་ལྟ་བ།_ཐ་དད་པ+གཅར_ད་ལྟ་བ།_ཐ་དད་པ+གཅོར_འདས་པ།_ཐ་དད་པ+གཅོར_མ་འོངས་པ།_ཐ་དད་པ+བཅར_མ་འོངས་པ།_ཐ་དད་པ+གཅར_མ་འོངས་པ།_ཐ་དད་པ+བཅར_ད་ལྟ་བ།_ཐ་དད་པ+ཆོར_ད་ལྟ་བ།_ཐ་དད་པ+གཅར_མ་འོངས་པ།_###+གཅར_ད་ལྟ་བ།_ཐ་མི་དད་པ+གཅར_འདས་པ།_ཐ་དད་པ+གཅར_མ་འོངས་པ།_ཐ་མི་དད་པ
གཅི | གཅི_མ་འོངས་པ།_ཐ་དད་པ+གཅི_ད་ལྟ་བ།_ཐ་དད་པ+གཅིས_མ་འོངས་པ།_ཐ་དད་པ+གཅིས_ད་ལྟ་བ།_ཐ་དད་པ
གཅིར | གཅིར_མ་འོངས་པ།_ཐ་དད་པ+འཆིར_མ་འོངས་པ།_ཐ་དད་པ+བཅིར_མ་འོངས་པ།_ཐ་དད་པ+ཆིར_མ་འོངས་པ།_ཐ་དད་པ+འཆིར_མ་འོངས་པ།_###
གཅིལ | ཆིལ_མ་འོངས་པ།_ཐ་དད་པ+གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
གཅིས | གཅི_འདས་པ།_ཐ་དད་པ+གཅིས_འདས་པ།_ཐ་དད་པ+གཅི_སྐུལ་ཚིག_ཐ་དད་པ+གཅིས_སྐུལ་ཚིག_ཐ་དད་པ
གཅུ | གཅུས_མ་འོངས་པ།_ཐ་དད་པ+གཅུ_མ་འོངས་པ།_ཐ་དད་པ+གཅུ_ད་ལྟ་བ།_ཐ་དད་པ+གཅུས_ད་ལྟ་བ།_ཐ་དད་པ
གཅུགས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
གཅུད | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
གཅུན | བཅུན_མ་འོངས་པ།_ཐ་དད་པ+ཆུན_མ་འོངས་པ།_ཐ་དད་པ+འཇུན_མ་འོངས་པ།_ཐ་དད་པ+འཆུན_མ་འོངས་པ།_ཐ་དད་པ
གཅུར | འཇུར_མ་འོངས་པ།_ཐ་དད་པ+འཇུར_མ་འོངས་པ།_###+བཅུར_མ་འོངས་པ།_ཐ་དད་པ+ཆུར_མ་འོངས་པ།_ཐ་དད་པ+གཅུར_མ་འོངས་པ།_ཐ་དད་པ
གཅུས | འཆུས_སྐུལ་ཚིག_ཐ་དད་པ+གཅུ_སྐུལ་ཚིག_ཐ་དད་པ+འཆུ_སྐུལ་ཚིག_###+གཅུས_སྐུལ་ཚིག_ཐ་དད་པ+གཅུ_འདས་པ།_ཐ་དད་པ+གཅུས_འདས་པ།_ཐ་དད་པ
གཅེས | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
གཅོག | གཅོག_ད་ལྟ་བ།_###+བཅག_ད་ལྟ་བ།_ཐ་དད་པ+ཆོག_ད་ལྟ་བ།_ཐ་དད་པ+གཅོག_ད་ལྟ་བ།_ཐ་དད་པ
གཅོད | གཅད_ད་ལྟ་བ།_ཐ་མི་དད་པ+གཅོད_ད་ལྟ་བ།_ཐ་མི་དད་པ+ཆོད_ད་ལྟ་བ།_ཐ་དད་པ+གཅད_ད་ལྟ་བ།_ཐ་དད་པ+གཅོད_ད་ལྟ་བ།_###+བཅད_ད་ལྟ་བ།_ཐ་དད་པ+གཅོད_ད་ལྟ་བ།_ཐ་དད་པ
གཅོམ | བཅོམ_ད་ལྟ་བ།_###+གཅོམ_ད་ལྟ་བ།_ཐ་དད་པ+བཅམས_ད་ལྟ་བ།_ཐ་དད་པ
གཅོར | གཅོར_སྐུལ་ཚིག_ཐ་དད་པ+གཅར_སྐུལ་ཚིག_ཐ་དད་པ+བཅར_སྐུལ་ཚིག_ཐ་དད་པ+གཅར_སྐུལ་ཚིག_ཐ་མི་དད་པ
གཅོལ | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
གཉག | གཉོག_མ་འོངས་པ།_###+གཉོགས_མ་འོངས་པ།_###
གཉགས | གཉོགས_འདས་པ།_###+གཉོག_འདས་པ།_###
གཉད | གཉོད_མ་འོངས་པ།_ཐ་དད་པ+གཉོད_འདས་པ།_ཐ་དད་པ
གཉིད | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
གཉིལ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
གཉུལ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
གཉེར | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
གཉེལ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
གཉོག | གཉོགས_ད་ལྟ་བ།_###+གཉོག_ད་ལྟ་བ།_###+གཉོགས_ད་ལྟ་བ།_ཐ་དད་པ+གཉོག_ད་ལྟ་བ།_ཐ་དད་པ+གཉོག_མ་འོངས་པ།_ཐ་དད་པ+གཉོགས_མ་འོངས་པ།_ཐ་དད་པ
གཉོགས | གཉོག_འདས་པ།_ཐ་དད་པ+གཉོག_སྐུལ་ཚིག_ཐ་དད་པ+གཉོག_སྐུལ་ཚིག_###+གཉོགས_འདས་པ།_ཐ་དད་པ+གཉོགས_སྐུལ་ཚིག_ཐ་དད་པ+གཉོགས_སྐུལ་ཚིག_###
གཉོད | གཉོད_སྐུལ་ཚིག_ཐ་དད་པ+གཉོད_ད་ལྟ་བ།_ཐ་དད་པ
གཏག | གཏག_མ་འོངས་པ།_ཐ་དད་པ+གཏགས_ད་ལྟ་བ།_ཐ་དད་པ+གཏག_ད་ལྟ་བ།_###+གཏག_མ་འོངས་པ།_###+གཏག_ད་ལྟ་བ།_ཐ་དད་པ+གཏགས_མ་འོངས་པ།_ཐ་དད་པ
གཏགས | གཏག_འདས་པ།_ཐ་དད་པ+གཏག_འདས་པ།_###+གཏགས_འདས་པ།_ཐ་དད་པ
གཏང | གཏང_མ་འོངས་པ།_ཐ་དད་པ+ཐོང_མ་འོངས་པ།_ཐ་དད་པ+བཏང_མ་འོངས་པ།_ཐ་དད་པ+གཏོང_མ་འོངས་པ།_###+གཏོང_མ་འོངས་པ།_ཐ་དད་པ
གཏད | གཏོད_འདས་པ།_ཐ་དད་པ+གཏོད_ད་ལྟ་བ།_###+གཏོད_འདས་པ།_###+གཏོད_མ་འོངས་པ།_###+གཏོད_ད་ལྟ་བ།_ཐ་དད་པ+གཏོད_མ་འོངས་པ།_ཐ་དད་པ
གཏན | གཏན_མ་འོངས་པ།_ཐ་དད་པ+གཏོན_མ་འོངས་པ།_ཐ་དད་པ+གཏན_ད་ལྟ་བ།_ཐ་དད་པ+གཏོན_ད་ལྟ་བ།_ཐ་དད་པ+གཏོན_འདས་པ།_ཐ་དད་པ+གཏན_འདས་པ།_ཐ་དད་པ
གཏམས | གཏམས_མ་འོངས་པ།_ཐ་དད་པ+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+གཏོམས_ད་ལྟ་བ།_ཐ་དད་པ+གཏམས_ད་ལྟ་བ།_ཐ་དད་པ+གཏམས_འདས་པ།_ཐ་དད་པ+གཏམས_ད་ལྟ་བ།_###+གཏོམས_མ་འོངས་པ།_ཐ་དད་པ+གཏོམས_འདས་པ།_ཐ་དད་པ+གཏམས_འདས་པ།_###+གཏམས_མ་འོངས་པ།_###
གཏའ | གཏས_ད་ལྟ་བ།_ཐ་དད་པ+གཏའ_ད་ལྟ་བ།_ཐ་དད་པ+གཏའ_མ་འོངས་པ།_ཐ་དད་པ+གཏས_མ་འོངས་པ།_ཐ་དད་པ
གཏར | གཏར_འདས་པ།_ཐ་དད་པ+གཏར_མ་འོངས་པ།_ཐ་དད་པ+གཏོར_མ་འོངས་པ།_###+གཏོར_འདས་པ།_###+གཏར_ད་ལྟ་བ།_ཐ་དད་པ+གཏོར_ད་ལྟ་བ།_###
གཏས | གཏས_འདས་པ།_ཐ་དད་པ+གཏའ_སྐུལ་ཚིག_ཐ་དད་པ+གཏའ_འདས།_ཐ་དད་པ+གཏས_སྐུལ་ཚིག_ཐ་དད་པ
གཏི | བྱ་ཚིག_ཐ་དད་པ
གཏིག | གཏིགས_ད་ལྟ་བ།_ཐ་དད་པ+བཏིག_ད་ལྟ་བ།_ཐ་དད་པ+གཏིག_ད་ལྟ་བ།_ཐ་དད་པ+བཏིགས_ད་ལྟ་བ།_ཐ་དད་པ
གཏིགས | བཏིག_སྐུལ་ཚིག_ཐ་དད་པ+བཏིགས_སྐུལ་ཚིག_ཐ་དད་པ+གཏིག_སྐུལ་ཚིག_ཐ་དད་པ+གཏིགས_སྐུལ་ཚིག_ཐ་དད་པ
གཏིང | ཐོང_མ་འོངས་པ།_###
གཏིབ | གཏིབ_ད་ལྟ་བ།_ཐ་དད་པ+གཏིབ_མ་འོངས་པ།_ཐ་དད་པ+གཏིབས_མ་འོངས་པ།_ཐ་དད་པ+གཏིབས_ད་ལྟ་བ།_ཐ་དད་པ
གཏིབས | གཏིབ_སྐུལ་ཚིག_ཐ་དད་པ+གཏིབས_འདས་པ།_ཐ་དད་པ+གཏིབས_སྐུལ་ཚིག_ཐ་དད་པ+གཏིབ_འདས་པ།_ཐ་དད་པ
གཏིམ | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
གཏུག | གཏུགས_མ་འོངས་པ།_ཐ་དད་པ+གཏུག_མ་འོངས་པ།_ཐ་མི་དད་པ+གཏུག_ད་ལྟ་བ།_ཐ་དད་པ+གཏུགས_ད་ལྟ་བ།_ཐ་དད་པ+གཏུག_མ་འོངས་པ།_ཐ་དད་པ+གཏུག_ད་ལྟ་བ།_###+གཏུག_མ་འོངས་པ།_###+གཏུག_ད་ལྟ་བ།_ཐ་མི་དད་པ
གཏུགས | གཏུག_འདས་པ།_ཐ་དད་པ+གཏུགས_སྐུལ་ཚིག_ཐ་དད་པ+གཏུག_སྐུལ་ཚིག_ཐ་མི་དད་པ+གཏུགས_འདས་པ།_ཐ་དད་པ+གཏུག_སྐུལ་ཚིག_ཐ་དད་པ+གཏུག_སྐུལ་ཚིག_###+གཏུག_འདས་པ།_ཐ་མི་དད་པ+གཏུག_འདས་པ།_###
གཏུབ | གཏུབ_མ་འོངས་པ།_ཐ་དད་པ+གཏུབས_ད་ལྟ་བ།_ཐ་དད་པ+གཏུབས_མ་འོངས་པ།_ཐ་དད་པ+གཏུབ_ད་ལྟ་བ།_ཐ་དད་པ
གཏུབས | གཏུབས_འདས་པ།_ཐ་དད་པ+གཏུབ_འདས་པ།_ཐ་དད་པ+གཏུབས_སྐུལ་ཚིག_ཐ་དད་པ+གཏུབ_སྐུལ་ཚིག_ཐ་དད་པ
གཏུམ | ཐུམ_མ་འོངས་པ།_ཐ་དད་པ+འཐུམ_མ་འོངས་པ།_ཐ་དད་པ+བཏུམ_མ་འོངས་པ།_ཐ་དད་པ+གཏུམ_མ་འོངས་པ།_ཐ་དད་པ
གཏུལ | བཏུལ_མ་འོངས་པ།_###+གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ+ཐུལ_མ་འོངས་པ།_###
གཏོག | གཏོག_མ་འོངས་པ།_ཐ་དད་པ+གཏོག_ད་ལྟ་བ།_ཐ་དད་པ+གཏོགས_མ་འོངས་པ།_ཐ་དད་པ+གཏོགས_ད་ལྟ་བ།_ཐ་དད་པ+གཏོག_མ་འོངས་པ།_###+གཏོག_ད་ལྟ་བ།_###
གཏོགས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+གཏོགས_སྐུལ་ཚིག_ཐ་དད་པ+གཏགས_སྐུལ་ཚིག_ཐ་དད་པ+གཏག_སྐུལ་ཚིག_ཐ་དད་པ+གཏོག_འདས་པ།_ཐ་དད་པ+གཏོགས_འདས་པ།_ཐ་དད་པ+གཏག_སྐུལ་ཚིག_###+གཏོག_སྐུལ་ཚིག_ཐ་དད་པ+གཏོག_སྐུལ་ཚིག_###+གཏོག_འདས་པ།_###
གཏོང | གཏང_ད་ལྟ་བ།_ཐ་དད་པ+ཐོང_ད་ལྟ་བ།_ཐ་དད་པ+གཏོང_ད་ལྟ་བ།_###+བཏང_ད་ལྟ་བ།_ཐ་དད་པ+གཏོང_ད་ལྟ་བ།_ཐ་དད་པ
གཏོད | གཏོད_ད་ལྟ་བ།_###+གཏོད_སྐུལ་ཚིག_###+བཏོད_མ་འོངས་པ།_ཐ་དད་པ+གཏོད_སྐུལ་ཚིག_ཐ་དད་པ+གཏོད_མ་འོངས་པ།_###+འདོད_མ་འོངས་པ།_###
གཏོན | གཏན_སྐུལ་ཚིག_ཐ་དད་པ+གཏོན_སྐུལ་ཚིག_ཐ་དད་པ
གཏོམས | གཏམས_སྐུལ་ཚིག_ཐ་དད་པ+གཏམས_སྐུལ་ཚིག_###+གཏོམས_སྐུལ་ཚིག_ཐ་དད་པ
གཏོར | གཏོར_སྐུལ་ཚིག_###+གཏར_སྐུལ་ཚིག_ཐ་དད་པ+གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ+བྱ་ཚིག_###
གདག | བཏག_མ་འོངས་པ།_###+འདོག_མ་འོངས་པ།_ཐ་དད་པ
